topic_id,topic_text
TOPIC_074B5D9080F6,Otrodudas
TOPIC_0DB82FF955BB,Otrodudas de clase
TOPIC_1B098FFD5E39,Otrodudas de examen
TOPIC_D3E6E3A24885,Otrodudas generales
TOPIC_51196E42875E,"Otrodudas sobre la tarea. distribuciones de frecuencias, histograma, ojiva."
TOPIC_48128DE95179,Otrodudas sobre respuestas en la evaluación realizada con anterioridad.
TOPIC_17B3D4A9E158,Otroecuación cuadrática
TOPIC_5381759FA826,Otroecuaciones
TOPIC_84BDE75C6310,Otroecuaciones de cuarto grado
TOPIC_40B6E4FD069A,Otroecuaciones de recta
TOPIC_15BE3D2E72D2,Otroecuaciones de rectas
TOPIC_42230E411A27,Otroecuaciones diferenciales
TOPIC_FE99927599A0,Otroecuaciones diferenciales ordinarias
TOPIC_B9B8D5C298EE,"Otroecuaciones diferenciales, ecuaciones exactas"
TOPIC_E0014F98209A,Otroecuaciones diferenfciales
TOPIC_31DEF566BBAA,Otroecuaciones lineales
TOPIC_D999E3B6DD15,Otroecuaciones trigonometricas
TOPIC_CD2B93506ECD,Otroecuaciones trigonométricas
TOPIC_0983E55C8DAE,Otroeleccción del tema para el proyecto final del curso
TOPIC_4EEA14C42021,Otroelementos básicos del programa r
TOPIC_0750BC597BCE,"Otroen el curso estadística inferencial, sobre el proyecto final a elaborar"
TOPIC_108E87E33A4D,Otroestadística aplicada a la salud
TOPIC_A1290A6FE95C,"Otroestadística de distribución poisson, normal y binomial."
TOPIC_FB615368FEDB,"Otroestadística inferencial, variables aleatorias y sus distribuciones"
TOPIC_97F16EF9FE0D,"Otroestadística inferencial, variables aleatorias y sus distribuciones, probabilidad"
TOPIC_DA275A6DDFE7,Otroestadística para ciencias de la salud
TOPIC_E5F6E5F309AC,Otroexamen
TOPIC_314E8A81A4E2,Otroexponentes
TOPIC_4F4B513D9D1F,Otroexponentes racionales
TOPIC_90C8471CFB15,Otroexponentes y radicales
TOPIC_DAC6662B2F93,Otroexpreciones racionales
TOPIC_BC9FA9B08783,Otroexpresiones algebraicas
TOPIC_00DFA7E3CF1D,Otroexpresiones racionales
TOPIC_DDF9EDA01572,Otrofactorizacion
TOPIC_0F3CB6271DBC,Otrofactorización
TOPIC_8E071DCAA1F9,Otrofactorización de trinomios
TOPIC_576E1E01070E,Otrofactorizacón
TOPIC_09C6D5B2F6A8,Otrofracciones parciales
TOPIC_65EC7DC575AB,Otrofunciones de densidad
TOPIC_22D0458E699B,Otrofunciones de dos variables
TOPIC_DC25ACA47304,"Otrofunciones de varias variables, limites y continuidad, derivadas parciales"
TOPIC_6CD622E14472,Otrofunciones por trozos
TOPIC_A0DF10D79FF4,Otrofunciones trig
TOPIC_E27BDF12F0CF,Otrofunciones trigonometricas
TOPIC_F7AA48529FFC,Otrofunciones trigonométricas
TOPIC_2382F3724031,Otrofunciones trigonometricas e identidades trigonometricas
TOPIC_92DE976FF20D,Otrofunciones trigonométricas y logarítmicas
TOPIC_6BDB4A71F771,Otrofunciones trinonometricas
TOPIC_002BAE3DE8C2,Otrofunsiones trigonometricas
TOPIC_DC4B86EADBC1,Otrogeneral
TOPIC_DAB6D401F79C,Otrogenerales
TOPIC_847973B147C5,Otrográfica de funciones.
TOPIC_5777141FF4CE,Otrograficas
TOPIC_B36293CFA106,Otrográficas
TOPIC_86B24D81D44F,Otrográficas de variables
TOPIC_68EF72178174,Otroidentidades trigonometricas
TOPIC_C336FF60C990,Otroidentidades trigonométricas
TOPIC_60DDEC7DBB15,Otroinecuaciones
TOPIC_ABD72BF37090,Otrointegrales
TOPIC_42CB170C166C,Otrointervalos
TOPIC_F9BDFBC82E66,Otrointervalos de confianza
TOPIC_8FD8323C83FF,Otroleyes de los límites
TOPIC_56A5A12CAA64,Otrolímite. demostración
TOPIC_D7C359FA3930,Otrolimites
TOPIC_33856940FD14,Otrolímites
TOPIC_2F99D63778EA,Otrolimites de funciones
TOPIC_C001A24A6CD7,Otrolímites en dos variables
TOPIC_2D6EEE0C3E79,Otrolimites en rn
TOPIC_EFE66097C072,Otrologaritmos
TOPIC_68A00260F2F9,Otrologica y conjuntos
TOPIC_7A3699F449FB,Otrológica y conjuntos
TOPIC_1F1F39D71391,"Otrológica, razonamientos"
TOPIC_5FDCD72A2D3A,Otrolongitud de arco y curvatura
TOPIC_AA25CA85C354,Otromatemáticas generales
TOPIC_DE2D55820A47,Otromatemáticas universitarias
TOPIC_6C098B50F18D,Otromatemáticas universitarias introduccion
TOPIC_74E4165FC235,Otromaximos
TOPIC_6D5BD4D4F4E8,Otromaximos y minimos
TOPIC_E08AF2836C51,Otromáximos y mínimos
TOPIC_21263729FBD0,Otromaximos y minimos absolutos
TOPIC_809A437015F6,Otromodelacion
TOPIC_D2EC6A9823BE,Otromúltiple
TOPIC_69E5F68BBA1B,Otronúmeros críticos
TOPIC_491AB8A3D3DD,Otronúmeros reales
TOPIC_6A6817FB6DF1,Otronúmeros reales y axiomas
TOPIC_D28BD00F8B02,Otrootro
TOPIC_16E4D382DCC8,Otrootros
TOPIC_C0C85A7F8B06,Otropendientes
TOPIC_5BD6CA7B54DA,Otroplano cartesino
TOPIC_4B58838D1D9A,Otroplano coordenada
TOPIC_6CAE3022BF24,Otropolinomios
TOPIC_A3BFC110FCBD,Otropracticas en la profesión
TOPIC_720C3680F084,Otroprobabilidad
TOPIC_9E8E9B8E8DEB,Otroprobabilidad y estadistica
TOPIC_CCF1D2F75348,Otroprobabilidad y estadística
TOPIC_46DF5DB0401F,Otroprobabilidades
TOPIC_4920DEF74489,Otroproductos notables
TOPIC_D6210AD726A2,Otroprogramación
TOPIC_1F717C03C5DF,Otroprogramación entera
TOPIC_D5D176D5815A,Otropropiedades de los números reales
TOPIC_BEC110794E5C,Otroproyecto
TOPIC_EE2A44C4FCE7,Otroproyecto final
TOPIC_B27B88264251,Otropruebas de hipótesis
TOPIC_6ED6FFEFF25B,Otropruebas no parametricas
TOPIC_6C02F0183BCC,Otroracionalización
TOPIC_ECA37DF3FCB5,Otroradicales
TOPIC_F2AFFCBBEE4D,Otrorádicales
TOPIC_F78DA9D3DBD1,Otroradicales y circunferencia
TOPIC_26B9F23512CB,Otroradicales y exponentes
TOPIC_B20E35DEF9E9,Otroradio en circunferencia
TOPIC_361713ED3E13,Otrorapaso general
TOPIC_D7B1C6BDCF6D,Otrorecta pendiente
TOPIC_D45E8D2CFBB0,Otrorectas
TOPIC_EDB415D795F2,Otrorectas paralelas
TOPIC_73B6EC27E3A5,Otroreducción de radicales
TOPIC_1D11E2CF6BA5,Otrorepaso
TOPIC_32B4BFAFF85E,Otrorepaso de álgebra
TOPIC_929E78FC8F7F,Otrorepaso general
TOPIC_8B9A24FB51FB,Otroreposición de examen
TOPIC_586FF9B812F2,Otrorevisión de ensayo
TOPIC_B6CFCFE3776B,Otrorevisión de estatus académico en el curso
TOPIC_B20FBD35E03A,Otrorevision de examen
TOPIC_7EB8E34E0ABD,Otrorevisión de examen
TOPIC_6DA379B21E1B,Otrorevisión de una tarea
TOPIC_FCC69152CEB4,Otrorevisión de wiki
TOPIC_C96F2CF4B7C6,Otrorevisión examen
TOPIC_EEFDCBA230CC,Otrorevisión examen y tarea
TOPIC_B3017D0364DE,Otroserie de taylor
TOPIC_72451EB10935,Otroseries
TOPIC_6CEE8C6EC24B,Otroseries alternantes
TOPIC_0D2A92F87CC1,Otroseries de potencia
TOPIC_57F71C6BCB28,Otroseries de potencias
TOPIC_E0EBADC20455,Otroseries de taylor
TOPIC_E37BFA69D0FB,Otrosimplificación de fracciones algebraicas
TOPIC_0813D9C72342,Otrosucesiones
TOPIC_D901D6AAC93E,Otrosumas telescópicas
TOPIC_EFF8CB74AFF1,Otrosustituciones
TOPIC_89DE3098F62C,Otrotablas de verdad
TOPIC_856CF9A00B57,Otrotaller epsilon-delta en cámara lenta
TOPIC_8BC820F5035E,Otrotarea
TOPIC_8590477B10A1,Otrotaylor y macclaurin
TOPIC_99C92D11940A,"Otrotema fundamental del cálculo, procesos de transporte 2"
TOPIC_84B9A6410E59,Otrotemas generales
TOPIC_A4674E9266FA,Otroteorema de estadística
TOPIC_7CEBBD7BD709,Otroteorema de green
TOPIC_2EB681187D8A,Otroteorema de probabilidad
TOPIC_A8034E722C2F,Otrotérminos de confianza
TOPIC_32A177CE598F,Otrotodos
TOPIC_69EA1C6F2BF0,Otrotransformaciones lineales
TOPIC_2FABF5848B2E,Otrotrig
TOPIC_2C6C658C1009,Otrotrigonometria
TOPIC_FB03D6AA1978,Otrotrigonometría
TOPIC_551177FABB96,Otrotrigonométricas
TOPIC_429E74C760BA,Otrovalor absoluto
TOPIC_8C65C7938265,Otrovalores y vectores propios
TOPIC_4F6160BA73F7,Otrovariables discretas
TOPIC_80C5B6B94CEF,Otrovariado
TOPIC_F6118B88402F,Otrovectores
TOPIC_9C4DB846F169,Otrovolujmen en sólido
TOPIC_9E0CCEC7205A,Parámetros
TOPIC_ECC58AB8DC52,Parcial 4
TOPIC_1977D4133752,Permutaciones
TOPIC_E340DAB5892C,Polinomios y funciones racionales
TOPIC_4CBB1289C553,Porobabilidad
TOPIC_2174A9119CE4,Practicas en la profesión
TOPIC_C1C732644D02,Pregunta del examen
TOPIC_11EA466B69E6,Preguntas de clase
TOPIC_9B2EB06DFE8F,Probabilidad
TOPIC_ADF3258B7C0A,Probabilidad condicional
TOPIC_6BE938FA2B0F,Probabilidad de eventos independientes
TOPIC_C39FE0BB74F0,Probabilidad y estadistica
TOPIC_9F0B17022915,Probabilidad y estadística
TOPIC_40296AA5C26D,Probabilidad y estadística.
TOPIC_0C19E827686E,Probabilidad.
TOPIC_E2ECD69F623C,Probabilidades
TOPIC_2C6A4D628233,Proceso de ortonormalización
TOPIC_874A7E45E04E,Procesos de transporte
TOPIC_6643B11496D7,Procesos de transporte i
TOPIC_61845C662244,Procesos de transporte i. funciones y calculo integral
TOPIC_C8469B5CC01D,Procesos estocásticos
TOPIC_565C080A0D8E,Producto cruz
TOPIC_00B8C61B5CED,Programación entera
TOPIC_4831B6C9EA1B,Programación lineal
TOPIC_CC57C7480180,"Programación, estructuras selectivas"
TOPIC_1C6D880FCDEE,Promedio móvil doble
TOPIC_EF020C750EFF,Proporcionalidad condicional
TOPIC_CCA57B0118DA,Proyecto
TOPIC_E9D9B555ACE8,Proyecto final
TOPIC_11A482BB8538,Proyecto tercer parcial
TOPIC_EC8B431677C5,Prubas de hipótesis
TOPIC_B4EC3893216E,Prueba condicional
TOPIC_9800A0925D3C,Prueba de hipotesis
TOPIC_0413A1860B84,Prueba de hipótesis
TOPIC_F9F5055F120E,Prueba e hipotesis
TOPIC_C30BD9A790E7,Pruebas de hipóteisis
TOPIC_8F267B7121B8,Pruebas de hipotesis
TOPIC_2EE579FA7D98,Pruebas de hipótesis
TOPIC_74C73FFD6313,Pruebas e hipotesis
TOPIC_AE7B74403BA1,Rangos de confianza
TOPIC_1C783B908AD4,Razonamiento (servicio social)
TOPIC_AC5C66F7EDB5,Razonamiento inductivo-deductivo
TOPIC_0DAEE063FA6D,Recursos humanos-análisis de datos
TOPIC_F621A69A55FE,Reegreciones
TOPIC_0957CC044DF3,Regla de la multiplicación para cálculo de probabilidades
TOPIC_9DBAE14D2DDB,Regla de multiplicación para probabilidades
TOPIC_6827810CEC0F,Regla emprírica
TOPIC_907A052912AD,Regresion lineal
TOPIC_8FDAC50A46BC,Regresión lineal
TOPIC_E0E97FC9C1F4,Regresión líneal
TOPIC_0620853DC656,Relación entre dos o más variables
TOPIC_414249630E2D,Repaso
TOPIC_48C53E706602,Repaso examen
TOPIC_F6635B38CA17,Repaso general
TOPIC_1613AE77A3FB,Revisar tarea
TOPIC_EFB87A29756B,Revisión
TOPIC_9934CE046467,Revisión de examen
TOPIC_BBCC28B7098E,Revision de proyecto
TOPIC_49C9D06088DE,Revisión de tarea
TOPIC_717FD738963B,Revisión examen parcial 2 de probabilidad y estadística
TOPIC_A54B4A9B3CFA,Revisisión
TOPIC_921ADAFD0171,Secciones crónicas
TOPIC_8E24D2EE6D96,Series de fourier
TOPIC_57E51B0A6A08,Series de taylor
TOPIC_CFDAB8831989,Sistema de ecuaciones
TOPIC_BCF77BC98811,Sistemas de ecuaciones
TOPIC_C84622F6323B,Sistemas de ecuaciones lineales
TOPIC_6D61CED01441,Sistiemas de ecuaciones
TOPIC_4A69BD6B4A5B,Subespacios vectoriales
TOPIC_255E50170410,Sucesiones y series
TOPIC_6BC76FA462E8,Superficies
TOPIC_7165054DB2EF,Tabla de frecuencias
TOPIC_E415EBD87768,Tablas de verdad
TOPIC_5608732AAB55,Taller epsilon-delta en cámara lenta
TOPIC_889D6FFAF69E,Taller: el top 10 del álgebra falsa
TOPIC_B5B3FBB52BC1,Taller: una apliacación de la integral
TOPIC_F11E27ECD4CB,Taller: una apliación de la integral
TOPIC_8CFA504AC2C6,Taller: una aplicación de la integral
TOPIC_0E06D640F291,Tarea
TOPIC_BFF835E34EA5,"Tarea 6, muestras grandes"
TOPIC_F3FF41E37121,Tarea de matrices
TOPIC_331A737432B4,Técnicas de conteo
TOPIC_D0E98FD70863,Técnicas de integración
TOPIC_6C7B00B45E53,Técnicas numéricas para cálculo
TOPIC_6504A84A2264,Temas adicionales de diferenciación
TOPIC_221700852004,Temas generales.
TOPIC_35828ABE9737,Temas selectos
TOPIC_401F84619035,Temas selectos de estadística
TOPIC_468B64BDD3F8,Teorema de bayes
TOPIC_4D00C7894491,Teoremas
TOPIC_4A6FA16A2F6C,Teoría de grupos
TOPIC_48864D41B1CE,Teoria de mates
TOPIC_621BA0C3C8A8,Teoria de matrices
TOPIC_04058F8F61D1,Teoría de matrices
TOPIC_394066FAA61A,Teoría de matrices tarea
TOPIC_5A81CC3DB8AD,"Teoría de matrices, eigenvalores"
TOPIC_E297A2C55681,"Teoría de matrices, espacios vectoriales"
TOPIC_5F2CE3D43E41,"Teoría de matrices, gauss jordan"
TOPIC_80B526728A02,"Teoría de matrices, subespacios"
TOPIC_34BAC0B8B5FA,Teoría de matrices: espacios vectoriales
TOPIC_1D8E7871E547,Teoría de matrices: matrices inversas
TOPIC_96D2F486B9EA,Trabajo
TOPIC_B048BD44CB8D,Trabajo duda
TOPIC_C36B36188E4A,Transformaciones lineales
TOPIC_23290A5B1989,Transformada de laplace
TOPIC_7CF364C30A8F,Trigonometría
TOPIC_6336AAD24F0C,Uso de las distribuciones de frecuencias en la investigación social
TOPIC_D5EB1E337C73,Valor esperado de funciones de densidad
TOPIC_7396629EA772,Valor histórico
TOPIC_5CDE1E523061,Valores y vectores propios
TOPIC_E0B55E756780,Variable aleatoria
TOPIC_C82D0D785178,Variable compleja
TOPIC_874E73108A19,Variables aleatorias
TOPIC_E838D8C4F5EE,Variables aleatorias y sus distribuciones
TOPIC_08E25D1EC811,Varianza
TOPIC_97E7B00CA21E,Vectores
